;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Item_price_before;Discount_facilitator
0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175837abc.png;;Raudonosios besėklės vynuogės, fasuotos, 500 g;Iki 01.15;0;1;99;;
1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a2fdbd.png;;Lietuviški svogūnai, 1 kg;Iki 01.15;0;0;39;;
2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a067d7.png;;Mažųjų pomidorų rinkinys, fasuotas, 500 g;Iki 01.15;0;2;49;;
3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c1757c9d6f.png;;Citrinos, 1 kg;Iki 01.15;0;1;19;;
4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c17588f982.png;;Obuoliai JONAGOLD, 1 kg;Iki 01.15;0;0;59;;
5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a5be87.png;;Dideli raudonieji greipfrutai, 1 kg;Iki 01.15;0;1;49;;
6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a1b0a4.png;;Apelsinai, 1 kg;Iki 01.15;0;1;19;;
7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c1759bc98f.png;;Ananasai, 1 kg;Iki 01.15;0;1;39;;
8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c1759d1dfb.png;;Kiviai, 1 kg;Iki 01.15;0;2;19;;
9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c1759e5612.png;;Avokadas, 1 vnt.;Iki 01.15;0;0;59;;
10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a8829f.png;;Ilgavaisis agurkas, 1 vnt.;Iki 01.15;0;0;99;;
11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a734f5.png;;Imbierų šaknys, 1 kg;Iki 01.15;0;4;39;;
12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175a44f51.png;;Lietuviškos plautos morkos, 1 kg;Iki 01.15;0;0;49;;
13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/659c175e2b2ca.png;;Rauginti kopūstai LINKĖJIMAI IŠ KAIMO, fasuoti, 800 g;Iki 01.15;0;1;69;;
14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659c175851b3e.png;-50%;Šviežia viščiukų broilerių filė VILNIAUS PAUKŠTYNAS, 500 g;Iki 01.15;0;2;74;5,49;
15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659c17662d950.png;-50%;Mėsos gaminiams KAI NORISI MĖSOS;Iki 01.15;0;;;;
16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659b99ee55a92.png;1+1;SU PROGRAMĖLE! Virtos kepamosios vištienos dešrelės WELL DONE, 2 pak. X 270 g, 2 rūšių;Iki 01.15;0;2;49;;Tik Su Programele
17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659b99ee873c5.png;2 vnt. už;SU PROGRAMĖLE! Šaldyti vištienos kepsneliai HEAT & EAT**, 2 pak. x 500 g;Iki 01.15;0;5;99;;Tik Su Programele
18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659c175824d69.png;-31%;FEEL THE BEEF brandintas jautienos kepsnys MINUTĖ, 360 g;Iki 01.15;2;7;49;10,99;
19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/659c175810cc2.png;-37%;Lėtai virtas viščiukas broileris WELL DONE, 1 kg;Iki 01.15;0;4;99;7,99;
